UserId;NodeId;TimeSpent
411;1399;14
411;1354;3
411;1399;3
411;1354;5
411;1399;12
411;1354;11
411;1354;8
411;1399;9
402;1334;8
402;1354;22
402;1399;23
402;1399;377
402;1399;2214
402;1399;5493
402;1399;10561
368;1334;6
368;1354;3
368;1399;1336
429;1334;40
429;1473;18
429;2082;40
433;1334;1
433;1354;26
433;1399;3
433;1354;5
433;1399;7
433;1354;4
433;1354;43
433;1399;16
433;1354;9
433;1354;19
433;1354;4
433;1354;32
433;1399;2
436;1426;10
436;1354;48
436;1399;32
436;1354;0
436;1426;18
436;1354;0
436;1426;2
436;1354;30
436;1426;0
441;1399;9
441;1380;38
441;1354;0
441;1354;0
441;1354;234
393;1334;2
393;1354;813
393;1335;10
393;7785;2
393;1335;7
393;1334;10
393;1942;29
450;4632;15
450;1380;4
451;1334;64
451;1354;53
451;1399;68
301;1331;2
301;1942;6
303;1331;2
303;1334;16
458;1399;14
458;1354;39
458;1399;34
461;1426;18
461;1354;31
461;1399;4
461;1354;56
461;1399;9
461;1354;7
461;1426;0
461;1334;3
464;1354;10
464;1380;53
464;1380;10
464;1380;20
464;1380;13
472;1354;15
472;1399;2
472;1354;15
472;1426;0
472;1354;0
472;1426;0
472;1426;11
472;7568;0
476;2082;2
476;2082;4
487;1334;3
487;1473;16
487;1334;5
487;1336;0
487;6397;0
488;1334;8
488;1354;9
488;1354;16
488;1399;11
488;1354;31
488;1399;25
488;1354;0
488;1399;41
497;7621;0
497;1354;68
497;1399;25
497;2077;11
498;1354;8
498;1426;6
498;1354;10
498;1426;5
498;1354;29
498;1426;6
498;1354;221
500;1399;2
500;1399;4
500;1399;7
500;1354;0
500;1354;0
500;1354;0
500;1354;0
502;1354;69
502;1354;16
506;1334;13
506;1354;21
506;1399;74
506;1354;29
506;1399;16
324;7200;62
324;7199;3
324;6397;148
324;1334;68
324;1334;157
490;1334;22
490;1354;27
490;1354;9
490;1354;17
490;1354;6
490;1354;12
490;1354;1
490;1354;8136
490;1334;49
506;1334;14
506;1354;36
506;1399;31
506;1354;5
506;1399;6
506;1354;11
506;1399;21
506;1354;8
506;1399;19
506;1354;19
506;1399;4
506;1354;8
506;1399;5
506;1354;21
506;1399;4
506;1354;6
506;1399;3
506;1354;7
506;1399;12
502;3373;65
502;5372;22
502;2082;41
502;1354;0
502;1354;0
502;5906;433
545;1334;10
545;1334;1318
582;1334;15
582;1942;15
583;1334;3
583;1380;4
583;1399;33
583;1354;17
584;1334;16
584;1354;0
584;1334;8
584;1354;81
584;1334;1
585;1354;15
585;1354;8
585;1354;12
585;1354;42
585;1399;33
585;1354;1
585;1354;0
585;1354;1
585;1354;0
585;7568;0
585;1334;0
590;4339;34
590;4339;4
590;1335;1
590;3374;5
490;1354;82
490;1354;68
490;1354;0
579;1354;41
579;1426;23
579;7568;9
579;7553;1955
590;1354;22
590;7785;16
590;3374;2
590;3913;0
594;1334;80
594;1334;0
594;1354;40
594;1354;5
594;1334;7
